epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2559.91,0.54082,1.8525,0.00441,0.68013,0.45933,0.43268,0.38608,0.99062,5.9924,0.01691,0.000848969,0.000848969,0.000848969
43,2601.63,0.49134,2.08021,0.00432,0.63997,0.60435,0.41821,0.3812,0.98673,6.18689,0.01697,0.000834822,0.000834822,0.000834822
44,2643.02,0.45171,2.0188,0.00432,0.63379,0.60427,0.39295,0.37806,0.88947,6.11287,0.01622,0.000820675,0.000820675,0.000820675
45,2683.63,0.54803,1.77417,0.00497,0.62759,0.60654,0.40865,0.38951,0.8975,5.98237,0.01688,0.000806528,0.000806528,0.000806528
46,2726.09,0.5485,1.98217,0.00476,0.63698,0.61079,0.4201,0.39995,0.91889,5.80376,0.0167,0.00079238,0.00079238,0.00079238
47,2770.5,0.48638,1.76674,0.00427,0.74912,0.51263,0.40583,0.38082,0.90174,5.66377,0.01586,0.000778233,0.000778233,0.000778233
48,2812.54,0.50322,1.54914,0.00427,0.69455,0.52819,0.37785,0.35446,0.9232,5.51098,0.01644,0.000764086,0.000764086,0.000764086
49,2855.26,0.44991,1.7745,0.00404,0.76133,0.4363,0.40374,0.37652,0.89699,5.39411,0.01648,0.000749939,0.000749939,0.000749939
50,2897.56,0.50162,1.51607,0.00465,0.77856,0.43505,0.41824,0.37898,0.91794,5.30113,0.01692,0.000735792,0.000735792,0.000735792
51,2939.42,0.53001,1.74908,0.00464,0.77783,0.43487,0.43106,0.40308,0.90964,5.21508,0.01659,0.000721645,0.000721645,0.000721645
52,2981.54,0.52231,1.78108,0.00469,0.7284,0.50144,0.43485,0.39903,0.85039,5.1599,0.01636,0.000707498,0.000707498,0.000707498
53,3022.93,0.50025,1.63482,0.00463,0.70858,0.50549,0.45799,0.42238,0.87234,5.08951,0.01652,0.000693351,0.000693351,0.000693351
54,3064.21,0.57566,1.60738,0.00468,0.6718,0.50607,0.46497,0.42782,0.90822,5.06956,0.01705,0.000679204,0.000679204,0.000679204
